County,Census,Estimates Base,Today,,,,,
United States,0,0,0,,,,,,
Autauga ,"54,571","54,597",55869,,,".Autauga County, Alabama",,,
Baldwin ,"182,265","182,265",223234,,,".Baldwin County, Alabama",,,
Barbour ,"27,457","27,455",24686,,,".Barbour County, Alabama",,,
Bibb ,"22,915","22,915",22394,,,".Bibb County, Alabama",,,
Blount ,"57,322","57,322",57826,,,".Blount County, Alabama",,,
Bullock ,"10,914","10,911",10101,,,".Bullock County, Alabama",,,
Butler ,"20,947","20,940",19448,,,".Butler County, Alabama",,,
Calhoun ,"118,572","118,526",113605,,,".Calhoun County, Alabama",,,
Chambers ,"34,215","34,169",33254,,,".Chambers County, Alabama",,,
Cherokee ,"25,989","25,979",26196,,,".Cherokee County, Alabama",,,
Chilton ,"43,643","43,632",44428,,,".Chilton County, Alabama",,,
Choctaw ,"13,859","13,858",12589,,,".Choctaw County, Alabama",,,
Clarke ,"25,833","25,833",23622,,,".Clarke County, Alabama",,,
Clay ,"13,932","13,930",13235,,,".Clay County, Alabama",,,
Cleburne ,"14,972","14,972",14910,,,".Cleburne County, Alabama",,,
Coffee ,"49,948","49,955",52342,,,".Coffee County, Alabama",,,
Colbert ,"54,428","54,428",55241,,,".Colbert County, Alabama",,,
Conecuh ,"13,228","13,236",12067,,,".Conecuh County, Alabama",,,
Coosa ,"11,539","11,756",10663,,,".Coosa County, Alabama",,,
Covington ,"37,765","37,762",37049,,,".Covington County, Alabama",,,
Crenshaw ,"13,906","13,893",13772,,,".Crenshaw County, Alabama",,,
Cullman ,"80,406","80,406",83768,,,".Cullman County, Alabama",,,
Dale ,"50,251","50,251",49172,,,".Dale County, Alabama",,,
Dallas ,"43,820","43,813",37196,,,".Dallas County, Alabama",,,
DeKalb ,"71,109","71,120",71513,,,".DeKalb County, Alabama",,,
Elmore ,"79,303","79,272",81209,,,".Elmore County, Alabama",,,
Escambia ,"38,319","38,320",36633,,,".Escambia County, Alabama",,,
Etowah ,"104,430","104,429",102268,,,".Etowah County, Alabama",,,
Fayette ,"17,241","17,235",16302,,,".Fayette County, Alabama",,,
Franklin ,"31,704","31,709",31362,,,".Franklin County, Alabama",,,
Geneva ,"26,790","26,781",26271,,,".Geneva County, Alabama",,,
Greene ,"9,045","9,039",8111,,,".Greene County, Alabama",,,
Hale ,"15,760","15,762",14651,,,".Hale County, Alabama",,,
Henry ,"17,302","17,299",17205,,,".Henry County, Alabama",,,
Houston ,"101,547","101,560",105882,,,".Houston County, Alabama",,,
Jackson ,"53,227","53,223",51626,,,".Jackson County, Alabama",,,
Jefferson ,"658,466","658,567",658573,,,".Jefferson County, Alabama",,,
Lamar ,"14,564","14,564",13805,,,".Lamar County, Alabama",,,
Lauderdale ,"92,709","92,709",92729,,,".Lauderdale County, Alabama",,,
Lawrence ,"34,339","34,337",32924,,,".Lawrence County, Alabama",,,
Lee ,"140,247","140,287",164542,,,".Lee County, Alabama",,,
Limestone ,"82,782","82,786",98915,,,".Limestone County, Alabama",,,
Lowndes ,"11,299","11,296",9726,,,".Lowndes County, Alabama",,,
Macon ,"21,452","21,448",18068,,,".Macon County, Alabama",,,
Madison ,"334,811","334,807",372909,,,".Madison County, Alabama",,,
Marengo ,"21,027","21,048",18863,,,".Marengo County, Alabama",,,
Marion ,"30,776","30,776",29709,,,".Marion County, Alabama",,,
Marshall ,"93,019","93,019",96774,,,".Marshall County, Alabama",,,
Mobile ,"412,992","413,139",413210,,,".Mobile County, Alabama",,,
Monroe ,"23,068","23,067",20733,,,".Monroe County, Alabama",,,
Montgomery ,"229,363","229,375",226486,,,".Montgomery County, Alabama",,,
Morgan ,"119,490","119,490",119679,,,".Morgan County, Alabama",,,
Perry ,"10,591","10,575",8923,,,".Perry County, Alabama",,,
Pickens ,"19,746","19,746",19930,,,".Pickens County, Alabama",,,
Pike ,"32,899","32,901",33114,,,".Pike County, Alabama",,,
Randolph ,"22,913","22,916",22722,,,".Randolph County, Alabama",,,
Russell ,"52,947","52,963",57961,,,".Russell County, Alabama",,,
St. Clair ,"83,593","83,350",89512,,,".St. Clair County, Alabama",,,
Shelby ,"195,085","195,253",217702,,,".Shelby County, Alabama",,,
Sumter ,"13,763","13,763",12427,,,".Sumter County, Alabama",,,
Talladega ,"82,291","82,353",79978,,,".Talladega County, Alabama",,,
Tallapoosa ,"41,616","41,618",40367,,,".Tallapoosa County, Alabama",,,
Tuscaloosa ,"194,656","194,667",209355,,,".Tuscaloosa County, Alabama",,,
Walker ,"67,023","67,020",63521,,,".Walker County, Alabama",,,
Washington ,"17,581","17,580",16326,,,".Washington County, Alabama",,,
